"","Aridity","PET","Bio06","Bio14","Bio02","Bio07","Bio15","Mid_domain","Prec_stab","Temp_stab","Topo_het","Lat_EV","Long_EV","I(Aridity^2)","I(PET^2)","I(Bio06^2)","I(Bio14^2)","I(Bio02^2)","I(Bio07^2)","I(Bio15^2)","I(Prec_stab^2)","I(Temp_stab^2)","I(Lat_EV^2)","I(Long_EV^2)"
"Topo_het",-0.256203485418583,-0.0267801744868526,-0.225666514979541,0.00696283808727657,-0.10510121538036,-0.0586007849698573,0.0512526481600704,-0.0968732876875583,-0.0939540701343833,0.212212085094528,1,0.0806594587580812,-0.387263532777238,-0.258477603715127,-0.0121223265901838,-0.215643438054873,0.00886880912185441,-0.121559211355899,-0.0739345161257092,0.034971965008632,-0.149217986623364,0.16272000336386,-0.152709401517558,-0.0542200124679133
"Lat_EV",0.390583429691732,0.71744169532516,0.755977439211729,-0.666990293083236,-0.163687607498291,-0.753129905916197,0.660271986682965,0.454983080828004,-0.679722223591367,0.148055438457826,0.0806594587580812,1,-0.0301396005497812,0.394421227903515,0.710376967706697,0.775825197856468,-0.602916920763866,-0.135172395948497,-0.749793067295404,0.633462577571002,-0.556069703235602,0.243847500698258,0.384134167983585,0.0494805151192265
"Long_EV",0.634907380045187,0.161961371785445,0.229363089959066,-0.193518025944824,0.450800752838646,0.192795985742176,0.164601158173802,0.124051096819559,-0.131238105534287,-0.645227142600008,-0.387263532777238,-0.0301396005497812,1,0.635348988554028,0.194715312186258,0.201954252524344,-0.149443007803787,0.459067174421761,0.202240525810638,0.182504147646686,-0.103420730605332,-0.563198666130463,0.12827221143861,0.357677963949106
"I(Aridity^2)",0.996875366048693,0.617090275287361,0.426692662350366,-0.640400261182003,0.674216479025617,0.109264628846463,0.650549448263042,0.0663742124405372,-0.413664976876044,-0.636770110014813,-0.258477603715127,0.394421227903515,0.635348988554028,1,0.594736057701833,0.36610323431592,-0.530744312569869,0.69270819606073,0.0894637115524941,0.654777641464946,-0.342032039905808,-0.557409335656612,-0.0319934663826237,0.26105844776699
"I(PET^2)",0.593072805808823,0.973750182350538,0.489127515404426,-0.822821956591625,0.220511580991306,-0.365806599811581,0.89526632413504,0.27471897281538,-0.522553447020415,-0.289988910163572,-0.0121223265901838,0.710376967706697,0.194715312186258,0.594736057701833,1,0.465389175273158,-0.68750391067779,0.22741444418082,-0.39712573481965,0.915109742874082,-0.406539197548968,-0.207381618448543,0.129285696316172,0.0976145903932645
"I(Bio06^2)",0.358169639966295,0.466894571120449,0.984347910392347,-0.421934928729043,-0.382457244164073,-0.779887514507709,0.366568540354938,0.53465460134668,-0.511717633106651,0.132038236348182,-0.215643438054873,0.775825197856468,0.201954252524344,0.36610323431592,0.465389175273158,1,-0.402009370949603,-0.350867700348642,-0.758642968366125,0.348719751311678,-0.374072019487492,0.273560443049148,0.550384418217997,0.297156421935157
"I(Bio14^2)",-0.539894286179037,-0.770193728639122,-0.466797947812085,0.961708345573572,-0.165584571852138,0.373357124262311,-0.823027173203998,0.136141618301693,0.334888288269349,0.200019179869044,0.00886880912185441,-0.602916920763866,-0.149443007803787,-0.530744312569869,-0.68750391067779,-0.402009370949603,1,-0.162742191258894,0.426984794083618,-0.719706262918514,0.255645644813114,0.15932416813069,0.160165572561081,-0.215207231162949
"I(Bio02^2)",0.697770277158075,0.237381573845116,-0.310960797596674,-0.263000244526502,0.994634523110582,0.68960057229904,0.342109926072343,-0.29002152128352,-0.0720144765089929,-0.661030380868889,-0.121559211355899,-0.135172395948497,0.459067174421761,0.69270819606073,0.22741444418082,-0.350867700348642,-0.162742191258894,1,0.672152261048895,0.367278318428942,-0.116795905746281,-0.677298328451862,-0.379222158047862,-0.0151755193671314
"I(Bio07^2)",0.094801274512005,-0.400423608431798,-0.741004454765374,0.402082051156685,0.684263347288561,0.993468766822991,-0.325180672489701,-0.373254060936048,0.401413672718481,-0.432355324615368,-0.0739345161257092,-0.749793067295404,0.202240525810638,0.0894637115524941,-0.39712573481965,-0.758642968366125,0.426984794083618,0.672152261048895,1,-0.27431158351604,0.28948605530147,-0.498695516685513,-0.352744293249008,-0.0743838895173215
"I(Bio15^2)",0.647561670844107,0.899934698620595,0.385137508805304,-0.862141588791339,0.35832339838915,-0.23098606470801,0.9772662207962,0.111453955483844,-0.476232513536304,-0.369891311406688,0.034971965008632,0.633462577571002,0.182504147646686,0.654777641464946,0.915109742874082,0.348719751311678,-0.719706262918514,0.367278318428942,-0.27431158351604,1,-0.388168991891778,-0.29911491699365,-0.0655798155204098,0.129625539215273
"I(Prec_stab^2)",-0.35101934789409,-0.383877001646362,-0.3775285250469,0.336491027963033,-0.10375843162413,0.300781425538519,-0.405073410838459,-0.0991334361255911,0.951301291660268,0.26777367846804,-0.149217986623364,-0.556069703235602,-0.103420730605332,-0.342032039905808,-0.406539197548968,-0.374072019487492,0.255645644813114,-0.116795905746281,0.28948605530147,-0.388168991891778,1,0.179041353767968,-0.0223434554821681,0.00154320999237812
"I(Temp_stab^2)",-0.559985367393267,-0.217915160840058,0.184121655828062,0.240153319823131,-0.677347221950764,-0.522764067202325,-0.281795022953604,0.274911532874783,0.177446113826354,0.963168719563069,0.16272000336386,0.243847500698258,-0.563198666130463,-0.557409335656612,-0.207381618448543,0.273560443049148,0.15932416813069,-0.677298328451862,-0.498695516685513,-0.29911491699365,0.179041353767968,1,0.360005223291979,-0.0419429802662698
"I(Lat_EV^2)",-0.0472573125608308,0.0764288304391735,0.473980431788186,0.131504367713175,-0.403098657217834,-0.411260614793006,-0.127004888198686,0.8591629248504,-0.136029075155089,0.266805731690787,-0.152709401517558,0.384134167983585,0.12827221143861,-0.0319934663826237,0.129285696316172,0.550384418217997,0.160165572561081,-0.379222158047862,-0.352744293249008,-0.0655798155204098,-0.0223434554821681,0.360005223291979,1,0.0537080552736802
"I(Long_EV^2)",0.242786808110087,0.097107877552274,0.309243499675886,-0.199763669186499,-0.00911583027619135,-0.0514448714456101,0.140469436180765,0.0714124259033409,-0.045422294943918,-0.12247968253542,-0.0542200124679133,0.0494805151192265,0.357677963949106,0.26105844776699,0.0976145903932645,0.297156421935157,-0.215207231162949,-0.0151755193671314,-0.0743838895173215,0.129625539215273,0.00154320999237812,-0.0419429802662698,0.0537080552736802,1
